Semantic_ID,Aspect,n_pois,Top1_name,Top1,Top2_name,Top2,Top3_name,Top3,Top4_name,Top4,Top5_name,Top5,Others
93-93-97,Category,3,Beauty & Spas,100.0,,0.0,,0.0,,0.0,,0.0,0.0
93-93-97,Region,3,Philadelphia,100.0,,0.0,,0.0,,0.0,,0.0,0.0
93-93-106,Category,1,Beauty & Spas,100.0,,0.0,,0.0,,0.0,,0.0,0.0
93-93-106,Region,1,Philadelphia,100.0,,0.0,,0.0,,0.0,,0.0,0.0
93-93-109,Category,2,Beauty & Spas,100.0,,0.0,,0.0,,0.0,,0.0,0.0
93-93-109,Region,2,Philadelphia,100.0,,0.0,,0.0,,0.0,,0.0,0.0
93-94-12,Category,1,Restaurants,100.0,,0.0,,0.0,,0.0,,0.0,0.0
93-94-12,Region,1,Philadelphia,100.0,,0.0,,0.0,,0.0,,0.0,0.0
93-94-106,Category,1,Restaurants,100.0,,0.0,,0.0,,0.0,,0.0,0.0
93-94-106,Region,1,Philadelphia,100.0,,0.0,,0.0,,0.0,,0.0,0.0
93-95-22,Category,1,Beauty & Spas,100.0,,0.0,,0.0,,0.0,,0.0,0.0
93-95-22,Region,1,Philadelphia,100.0,,0.0,,0.0,,0.0,,0.0,0.0
93-95-51,Category,1,Restaurants,100.0,,0.0,,0.0,,0.0,,0.0,0.0
93-95-51,Region,1,Philadelphia,100.0,,0.0,,0.0,,0.0,,0.0,0.0
93-95-97,Category,1,Beauty & Spas,100.0,,0.0,,0.0,,0.0,,0.0,0.0
93-95-97,Region,1,Philadelphia,100.0,,0.0,,0.0,,0.0,,0.0,0.0
93-97-3,Category,1,Active Life,100.0,,0.0,,0.0,,0.0,,0.0,0.0
93-97-3,Region,1,Philadelphia,100.0,,0.0,,0.0,,0.0,,0.0,0.0
93-98-26,Category,1,Beauty & Spas,100.0,,0.0,,0.0,,0.0,,0.0,0.0
93-98-26,Region,1,Philadelphia,100.0,,0.0,,0.0,,0.0,,0.0,0.0
93-105-13,Category,1,Shopping,100.0,,0.0,,0.0,,0.0,,0.0,0.0
93-105-13,Region,1,Philadelphia,100.0,,0.0,,0.0,,0.0,,0.0,0.0
93-105-20,Category,1,Shopping,100.0,,0.0,,0.0,,0.0,,0.0,0.0
93-105-20,Region,1,Philadelphia,100.0,,0.0,,0.0,,0.0,,0.0,0.0
93-105-44,Category,1,Restaurants,100.0,,0.0,,0.0,,0.0,,0.0,0.0
93-105-44,Region,1,Philadelphia,100.0,,0.0,,0.0,,0.0,,0.0,0.0
93-105-51,Category,1,Shopping,100.0,,0.0,,0.0,,0.0,,0.0,0.0
93-105-51,Region,1,Philadelphia,100.0,,0.0,,0.0,,0.0,,0.0,0.0
93-105-77,Category,1,Shopping,100.0,,0.0,,0.0,,0.0,,0.0,0.0
93-105-77,Region,1,Philadelphia,100.0,,0.0,,0.0,,0.0,,0.0,0.0
93-105-85,Category,2,Restaurants,50.0,Shopping,50.0,,0.0,,0.0,,0.0,0.0
93-105-85,Region,2,Philadelphia,100.0,,0.0,,0.0,,0.0,,0.0,0.0
93-107-85,Category,1,Shopping,100.0,,0.0,,0.0,,0.0,,0.0,0.0
93-107-85,Region,1,Philadelphia,100.0,,0.0,,0.0,,0.0,,0.0,0.0
93-112-15,Category,1,Local Services,100.0,,0.0,,0.0,,0.0,,0.0,0.0
93-112-15,Region,1,Philadelphia,100.0,,0.0,,0.0,,0.0,,0.0,0.0
93-112-109,Category,1,Restaurants,100.0,,0.0,,0.0,,0.0,,0.0,0.0
93-112-109,Region,1,Philadelphia,100.0,,0.0,,0.0,,0.0,,0.0,0.0
93-115-12,Category,1,Shopping,100.0,,0.0,,0.0,,0.0,,0.0,0.0
93-115-12,Region,1,Philadelphia,100.0,,0.0,,0.0,,0.0,,0.0,0.0
93-115-85,Category,1,Shopping,100.0,,0.0,,0.0,,0.0,,0.0,0.0
93-115-85,Region,1,Philadelphia,100.0,,0.0,,0.0,,0.0,,0.0,0.0
93-120-93,Category,1,Beauty & Spas,100.0,,0.0,,0.0,,0.0,,0.0,0.0
93-120-93,Region,1,Philadelphia,100.0,,0.0,,0.0,,0.0,,0.0,0.0
